iter	Passed	Remaining
0	0	88
1	1	81
2	2	78
3	3	74
4	3	75
5	4	75
6	5	75
7	6	76
8	7	76
9	8	76
10	9	76
11	10	76
12	11	74
13	12	73
14	12	73
15	13	72
16	14	72
17	15	72
18	16	71
19	17	70
20	18	69
21	19	69
22	20	68
23	21	67
24	22	66
25	23	66
26	24	65
27	25	64
28	26	63
29	26	62
30	27	61
31	28	60
32	29	59
33	30	58
34	31	58
35	32	57
36	33	56
37	34	55
38	35	54
39	35	53
40	36	52
41	37	51
42	37	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	45
48	42	44
49	43	43
50	44	42
51	45	41
52	46	40
53	46	39
54	47	38
55	48	37
56	48	36
57	49	35
58	50	35
59	51	34
60	52	33
61	53	32
62	54	31
63	54	30
64	55	30
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	24
71	61	24
72	62	23
73	63	22
74	64	21
75	65	20
76	65	19
77	66	18
78	67	17
79	68	17
80	68	16
81	69	15
82	70	14
83	71	13
84	71	12
85	72	11
86	73	10
87	74	10
88	75	9
89	75	8
90	76	7
91	77	6
92	78	5
93	78	5
94	79	4
95	80	3
96	81	2
97	82	1
98	83	0
99	84	0
